Epoch,Loss U (Real),Loss U (Imag),Loss V,Total Loss,Physics Loss,Boundary Loss U(Real),Boundary Loss U(Imag),Boundary Loss V,Domain Loss
0,1160.03173828125,3703.409912109375,7313.49560546875,12176.9375,12021.598876953125,38.35202145576477,78.8959493637085,4.582583129405975,"tensor(33.5081, device='cuda:0', grad_fn=<AddBackward0>)"
1,892.080322265625,1887.34375,3197.75341796875,5977.177734375,5834.4698486328125,39.0803747177124,67.84935283660889,4.778213620185852,"tensor(31.0000, device='cuda:0', grad_fn=<AddBackward0>)"
2,656.2421875,1397.6041259765625,1596.5062255859375,3650.3525390625,3511.924560546875,36.480340242385864,66.61360120773315,4.912710726261139,"tensor(30.4214, device='cuda:0', grad_fn=<AddBackward0>)"
3,502.60693359375,1001.3270263671875,848.2617797851562,2352.19580078125,2216.2130432128906,35.83669590950012,65.25260257720947,4.937290281057358,"tensor(29.9561, device='cuda:0', grad_fn=<AddBackward0>)"
4,417.1458435058594,810.01708984375,633.8275756835938,1860.990478515625,1725.1087951660156,34.12468719482422,67.20624256134033,4.862914472818375,"tensor(29.6879, device='cuda:0', grad_fn=<AddBackward0>)"
5,381.20233154296875,677.1594848632812,567.609619140625,1625.971435546875,1489.8408813476562,34.14596915245056,67.45071840286255,4.757671684026718,"tensor(29.7762, device='cuda:0', grad_fn=<AddBackward0>)"
6,350.3653869628906,639.466064453125,528.2828369140625,1518.1142578125,1382.7947082519531,34.14683961868286,67.31706953048706,4.67601752281189,"tensor(29.1796, device='cuda:0', grad_fn=<AddBackward0>)"
7,315.73974609375,472.59954833984375,426.16497802734375,1214.5042724609375,1078.6564636230469,33.37912464141846,68.70597267150879,4.650873094797134,"tensor(29.1118, device='cuda:0', grad_fn=<AddBackward0>)"
8,235.76702880859375,406.5330505371094,342.56256103515625,984.8626098632812,848.4832916259766,34.1033091545105,68.54388380050659,4.722171783447266,"tensor(29.0100, device='cuda:0', grad_fn=<AddBackward0>)"
9,217.8865966796875,370.1556701660156,283.0968933105469,871.13916015625,735.489013671875,34.922242164611816,67.56731796264648,4.691650867462158,"tensor(28.4689, device='cuda:0', grad_fn=<AddBackward0>)"
10,194.43772888183594,333.9480285644531,254.9573516845703,783.3430786132812,647.46826171875,34.67306566238403,68.11869716644287,4.663484632968903,"tensor(28.4196, device='cuda:0', grad_fn=<AddBackward0>)"
11,194.36351013183594,303.4375,231.36993408203125,729.1709594726562,594.0214233398438,33.95919227600098,68.26253318786621,4.715892970561981,"tensor(28.2119, device='cuda:0', grad_fn=<AddBackward0>)"
12,168.39395141601562,275.7962341308594,205.8145294189453,650.0046997070312,513.9195251464844,35.07357454299927,67.77700662612915,4.696828305721283,"tensor(28.5378, device='cuda:0', grad_fn=<AddBackward0>)"
13,157.43875122070312,264.90692138671875,175.50169372558594,597.8473510742188,461.7863464355469,34.06111812591553,68.50467443466187,4.804768234491348,"tensor(28.6904, device='cuda:0', grad_fn=<AddBackward0>)"
